{'my_id': 'D00-0YX', 'aName': {'lat': 'Iridan', 'cyr': 'Иридан'}, 'geo_code': 'VXX-0', 'aType': {'lat': 'Municipality', 'cyr': 'Гмина', 'lvl': '5'}, 'sub_type': 'General', 'parent': 'D00-0AM', 'aChildren': [], 'aMap': {'sRegion': 'Vænesston', 'iYear': '2019', 'fScale': 2000000.0, 'x': 181.19, 'y': 90.47, 'a': 9.12}, 'aArea': {'qty': 3648.0, 'uom': 'ha'},
'aDemand_workforce': {
    'total': {'rm': 18, 'rf': 4, 'hm': 100, 'hf': 14, 'mm': 742, 'mf': 797, 'lm': 760, 'lf': 691, 'pm': 1664, 'pf': 944},
    'aItemised': [
{'sCode': 'FME', 'sName': 'factories (by employee)', 'rm': 0, 'rf': 0, 'hm': 0, 'hf': 0, 'mm': 21, 'mf': 8, 'lm': 74, 'lf': 38, 'pm': 1472, 'pf': 761, 'iVeh_cnt': 46},
{'sCode': 'OME', 'sName': 'offices (by employee)', 'rm': 0, 'rf': 0, 'hm': 42, 'hf': 0, 'mm': 610, 'mf': 640, 'lm': 0, 'lf': 0, 'pm': 12, 'pf': 8, 'iVeh_cnt': 20},
{'sCode': 'OER', 'sName': 'entrepreneurs', 'rm': 16, 'rf': 4, 'hm': 12, 'hf': 4, 'mm': 0, 'mf': 21, 'lm': 5, 'lf': 0, 'pm': 0, 'pf': 0, 'iVeh_cnt': 27},
{'sCode': 'OBK', 'sName': 'bank', 'rm': 0, 'rf': 0, 'hm': 3, 'hf': 0, 'mm': 7, 'mf': 0, 'lm': 28, 'lf': 28, 'pm': 33, 'pf': 22, 'iVeh_cnt': 20},
{'sCode': 'OXX', 'sName': 'misc workers', 'rm': 0, 'rf': 0, 'hm': 2, 'hf': 0, 'mm': 7, 'mf': 7, 'lm': 70, 'lf': 70, 'pm': 3, 'pf': 3, 'iVeh_cnt': 3},
{'sCode': '4YG', 'sName': 'county government', 'rm': 0, 'rf': 0, 'hm': 0, 'hf': 0, 'mm': 5, 'mf': 1, 'lm': 105, 'lf': 35, 'pm': 26, 'pf': 9, 'iVeh_cnt': 4},
{'sCode': '3YG', 'sName': 'district government', 'rm': 0, 'rf': 0, 'hm': 0, 'hf': 0, 'mm': 11, 'mf': 4, 'lm': 0, 'lf': 0, 'pm': 3, 'pf': 1, 'iVeh_cnt': 3},
{'sCode': 'RXM', 'sName': 'misc shops (by employee)', 'rm': 2, 'rf': 0, 'hm': 9, 'hf': 0, 'mm': 14, 'mf': 14, 'lm': 275, 'lf': 275, 'pm': 22, 'pf': 15, 'iVeh_cnt': 24},
{'sCode': 'GHT', 'sName': 'hotel', 'rm': 0, 'rf': 0, 'hm': 1, 'hf': 0, 'mm': 2, 'mf': 2, 'lm': 12, 'lf': 12, 'pm': 1, 'pf': 1, 'iVeh_cnt': 5},
{'sCode': 'GRX', 'sName': 'restaurant', 'rm': 0, 'rf': 0, 'hm': 1, 'hf': 0, 'mm': 8, 'mf': 2, 'lm': 0, 'lf': 0, 'pm': 6, 'pf': 4, 'iVeh_cnt': 5},
{'sCode': 'ED4', 'sName': 'private school', 'rm': 0, 'rf': 0, 'hm': 0, 'hf': 0, 'mm': 6, 'mf': 15, 'lm': 0, 'lf': 0, 'pm': 0, 'pf': 1, 'iVeh_cnt': 5},
{'sCode': 'ED9', 'sName': 'disabled school', 'rm': 0, 'rf': 0, 'hm': 0, 'hf': 0, 'mm': 14, 'mf': 35, 'lm': 0, 'lf': 0, 'pm': 0, 'pf': 2, 'iVeh_cnt': 5},
{'sCode': '4YX', 'sName': 'county prison', 'rm': 0, 'rf': 0, 'hm': 10, 'hf': 3, 'mm': 2, 'mf': 0, 'lm': 90, 'lf': 29, 'pm': 0, 'pf': 1, 'iVeh_cnt': 11},
{'sCode': '5YP', 'sName': 'Police', 'rm': 0, 'rf': 0, 'hm': 0, 'hf': 0, 'mm': 3, 'mf': 3, 'lm': 29, 'lf': 29, 'pm': 3, 'pf': 3, 'iVeh_cnt': 21},
