{'km': 0.0, 'type': 'spot', 'elev_ft': 2215}
{'km': 0.4, 'type': 'spot', 'elev_ft': 2215}
{'km': 1.11, 'type': 'spot', 'elev_ft': 2250}
{'km': 2.51, 'type': 'spot', 'elev_ft': 2260}
{'km': 21.36, 'type': 'spot', 'elev_ft': 2240}
{'km': 26.84, 'type': 'spot', 'elev_ft': 2250}
{'km': 49.52, 'type': 'trapezoid', 'elev_ft': 0}
{'km': 50.28, 'type': 'trapezoid', 'elev_ft': 25}
{'km': 50.33, 'type': 'trapezoid', 'elev_ft': 25}
{'km': 51.13, 'type': 'trapezoid', 'elev_ft': 0}
{'km': 132.26, 'type': 'spot', 'elev_ft': 2500}
{'km': 143.54, 'type': 'spot', 'elev_ft': 2650}
{'km': 152.24, 'type': 'spot', 'elev_ft': 2640}
{'km': 159.6, 'type': 'spot', 'elev_ft': 2620}
{'km': 169.52, 'type': 'spot', 'elev_ft': 2556}
{'km': 180.84, 'type': 'spot', 'elev_ft': 2445}
{'km': 190.76, 'type': 'spot', 'elev_ft': 2390}
{'km': 197.86, 'type': 'spot', 'elev_ft': 2400}
{'km': 202.66, 'type': 'spot', 'elev_ft': 2410}
{'km': 216.76, 'type': 'spot', 'elev_ft': 2350}
{'km': 231.22, 'type': 'spot', 'elev_ft': 2340}
{'km': 248.0, 'type': 'spot', 'elev_ft': 2320}
